noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N4,F6,3,-23.257527894138008,-19.771944810944095,3.4855830831939123,3.690434887904505,1.671537222931427,0.8346944691300844,1.1429888962399073,1.7165888470068063,1.3472247502001538
N4,F7,3,-23.257527894138008,-13.925106886436986,9.332421007701022,3.690434887904505,0.45496668574510907,0.8346944691300844,1.0741622392924441,1.7165888470068063,1.7169231219825734
N4,F8,3,-23.257527894138008,-13.925106886436986,9.332421007701022,3.690434887904505,0.45496668574510907,0.8346944691300844,1.0741622392924441,1.7165888470068063,1.7169231219825734
N4,F5,3,-23.257527894138008,-12.886125089752497,10.37140280438551,3.690434887904505,0.3582801564797154,0.8346944691300844,1.1686814541558979,1.7165888470068063,1.9161258815443207
N4,F9,3,-23.257527894138008,-6.503756934265209,16.7537709598728,3.690434887904505,0.09190231835971643,0.8346944691300844,1.3166782241935264,1.7165888470068063,2.0
N4,F0,4,-24.134018133337904,-24.134018133337904,0.0,4.689139192780322,4.689139192780322,0.8915014728024705,0.8915014728024705,1.6715806926958434,1.6715806926958434
N4,F1,4,-24.134018133337904,-16.540004195056948,7.5940139382809555,4.689139192780322,0.8324779600593022,0.8915014728024705,1.2602027517147696,1.6715806926958434,1.6901538720121718
N4,F2,4,-24.134018133337904,-13.3007810714988,10.833237061839103,4.689139192780322,0.4048610883488385,0.8915014728024705,1.4612310377465252,1.6715806926958434,1.531847906706996
N4,F3,4,-24.134018133337904,-21.57793576648946,2.556082366848443,4.689139192780322,2.612653868043744,0.8915014728024705,1.1221270899618172,1.6715806926958434,1.673326237264021
N4,F4,4,-24.134018133337904,-12.61541111322665,11.518607020111254,4.689139192780322,0.34109775849465007,0.8915014728024705,1.2336927579960837,1.6715806926958434,1.668708541562894
N4,F6,4,-24.134018133337904,-20.896454087543134,3.2375640457947696,4.689139192780322,2.236117415631023,0.8915014728024705,1.136723177036739,1.6715806926958434,1.6567028071742387
N4,F7,4,-24.134018133337904,-14.598572667720164,9.53544546561774,4.689139192780322,0.5338173508936078,0.8915014728024705,1.119019295561939,1.6715806926958434,1.719552895062941
N4,F8,4,-24.134018133337904,-14.598572667720164,9.53544546561774,4.689139192780322,0.5338173508936078,0.8915014728024705,1.119019295561939,1.6715806926958434,1.719552895062941
N4,F5,4,-24.134018133337904,-13.214189376979448,10.919828756358456,4.689139192780322,0.39008234860333413,0.8915014728024705,1.2256946569901286,1.6715806926958434,1.681970874452133
N4,F9,4,-24.134018133337904,-6.7056886076729905,17.428329525664914,4.689139192780322,0.08831886450317236,0.8915014728024705,1.3949728311033966,1.6715806926958434,1.8059093163005835
N4,F0,5,-18.562103250323283,-18.562103250323283,0.0,1.519196848872859,1.519196848872859,0.7840357576368211,0.7840357576368211,1.7044490888944817,1.7044490888944817
N4,F1,5,-18.562103250323283,-11.253256419058939,7.3088468312643435,1.519196848872859,0.29556030185462917,0.7840357576368211,1.1602062911137416,1.7044490888944817,1.7373826657448936
N4,F2,5,-18.562103250323283,-8.45649434685451,10.105608903468772,1.519196848872859,0.16250940566200683,0.7840357576368211,1.349235535566685,1.7044490888944817,1.928779207151504
N4,F3,5,-18.562103250323283,-10.78645821242835,7.775645037894932,1.519196848872859,0.26770754848943035,0.7840357576368211,1.0807460435402798,1.7044490888944817,1.6063084307044837
N4,F4,5,-18.562103250323283,-9.566516124874864,8.995587125448418,1.519196848872859,0.2029036831135103,0.7840357576368211,1.1453572443147781,1.7044490888944817,1.8984972907337287
N4,F6,5,-18.562103250323283,-9.150049962475384,9.412053287847899,1.519196848872859,0.18901237816301159,0.7840357576368211,1.1483831641279325,1.7044490888944817,1.3523216124034918
N4,F7,5,-18.562103250323283,-10.155525673239064,8.406577577084219,1.519196848872859,0.22959933575059532,0.7840357576368211,1.000232269652269,1.7044490888944817,1.7300405742381488
