model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
logistic,sgd,F6,0,4000,0,4000,0.28427201752084086,0.2823534085930409,0.2846969064112525,-0.5359412047318469,0.28792656636080455
logistic,sgd,F6,1,4000,0,4000,0.4022856064150214,0.39585331486320324,0.40433090637012137,-0.4600989308623407,0.4022856073802207
logistic,sgd,F6,2,4000,0,4000,0.31363405532564914,0.30253649312979847,0.32038476643048885,-0.5006011587477365,0.3003048566326204
logistic,sgd,F6,3,4000,0,4000,0.3807485060962582,0.3590871168662635,0.4020363922449407,-0.45991364275223134,0.353283134500793
logistic,sgd,F6,4,4000,0,4000,0.15282681709749485,0.15078267894194122,0.15395936965798068,-0.7841371470242383,0.1497463899749063
logistic,sgd,F6,5,4000,0,4000,0.26725528356569095,0.2415216720106782,0.29764678595996197,-0.5592309979396755,0.23650206514547384
logistic,sgd,F6,6,4000,0,4000,0.277965295713835,0.2561183199944136,0.30080125944479835,-0.48949478015735,0.2532666812573262
logistic,sgd,F6,7,4000,0,4000,0.33797111247954936,0.33126628241069617,0.3461847170555471,-0.4458392526632991,0.33014924556972963
logistic,adam,F0,0,4000,0,4000,0.2869319074855581,0.2783239188513207,0.30439109774913736,-0.4359238557728605,0.2894443510625189
logistic,adam,F0,1,4000,0,4000,0.24401747641005578,0.2409557246995814,0.24772180790422538,-0.5847191652583891,0.2402413034729099
logistic,adam,F0,2,4000,0,4000,0.25328117394119454,0.24911894773160015,0.25745183888880196,-0.5440921202467993,0.24887165725851484
logistic,adam,F0,3,4000,0,4000,0.2894902880145779,0.27256855542852915,0.3131491077334295,-0.5152490282729082,0.2705721593198394
logistic,adam,F0,4,4000,0,4000,0.1655852353140983,0.15191439597453213,0.16802582237112004,-0.7317179052211449,0.1485363405119811
logistic,adam,F0,5,4000,0,4000,0.21039665358947188,0.19900722377014501,0.2213954637655375,-0.6427473318861822,0.1985797901707655
logistic,adam,F0,6,4000,0,4000,0.3412654114143227,0.31970538373502017,0.35273918999209847,-0.47390096760386907,0.3160912510033224
logistic,adam,F0,7,4000,0,4000,0.1314106350970341,0.12452718790331956,0.140825023150328,-0.721557787334282,0.12330337184248624
logistic,adam,F1,0,4000,0,4000,0.290601515742936,0.28110118196149636,0.3058036877456691,-0.4336466349899125,0.2940166317995679
logistic,adam,F1,1,4000,0,4000,0.2582985513015725,0.253992363801351,0.26053745291647934,-0.5593266360557326,0.25179495093468984
logistic,adam,F1,2,4000,0,4000,0.25576276262655817,0.2518732321102319,0.2606818760828086,-0.5357763052823422,0.25088520251764157
logistic,adam,F1,3,4000,0,4000,0.29552250497488375,0.27936336859340394,0.32123205954659184,-0.5084463091249062,0.275304218038736
logistic,adam,F1,4,4000,0,4000,0.1670165394381568,0.15067332753606483,0.16990338651595166,-0.7415654807080714,0.14684514465501947
logistic,adam,F1,5,4000,0,4000,0.20982305630471448,0.1981887020256521,0.22346024550344176,-0.6345484598166178,0.19812869270933217
logistic,adam,F1,6,4000,0,4000,0.3467591327647819,0.3235457023789336,0.35690883409175234,-0.46452765775551536,0.3170313940772455
logistic,adam,F1,7,4000,0,4000,0.1246094389821654,0.11762796060875096,0.13188515505270026,-0.7320016992586974,0.11695422387896103
